A,B,key,type
Redipoint,Redipoint is a Web-based data management solution that enables companies to centrally manage all Bill of Material (BOM) data and greatly simplifies environmental regulatory compliance and retailer scorecard reporting worldwide. ,['redipoint'],G
PRS,Package Registration System - The purpose of this application is to generate Sample IDs and Labels for the packages which are being sent in Laboratory for test.,['prs'],G
 TAT,"This functionality will be computing request completion time for a user request. Here is the list of objectives -
1 ) Ensure customers requested testing can be delivered within the customer requested timeline.
2)  Empower customer services with estimated completion dates to provide customers.
3) Support the operational teams in meeting the estimated completion date by providing a breakdown of tasks and due dates.
4) Empower the operational teams with actionable monitoring of tasks (actual vs estimated)
5)  Provide reporting to demonstrate the efficiency of the operational teams in meeting customers� expectations.
",['tat'],G
Interlink,"Interlink Portal - A common plateform to access multiple applications using Single Sign-On authentications. After successful authentications, It allows to access all the external applications for which user has access based on the application name and URL. Also used to manage New/ Existing Users, System Logs, Applications Details, Menus etc.",['interlink'],G
 IID,"Intertek ID - The purpose of this application is to provide an unique Intertek Id (IID) number associated with a request and will be used across systems. This IID number can be used to track items such as Job Status, Updates, data coming from Customer (i.e. sample attributes), results, and other functions as transactions flow from one application to another.",['iid'],G
Intertek ID,"Intertek ID - The purpose of this application is to provide an unique Intertek Id (IID) number associated with a request and will be used across systems. This IID number can be used to track items such as Job Status, Updates, data coming from Customer (i.e. sample attributes), results, and other functions as transactions flow from one application to another.","['intertek', 'id']",G
 RDS,Retail Data System - This application is for tracking status of test reports of retail customers like gap. It shows queue status and also where a particular items is stuck.It stores important fields of a manual test reports.,['rds'],G
Retail Data System,Retail Data System - This application is for tracking status of test reports of retail customers like gap. It shows queue status and also where a particular items is stuck.It stores important fields of a manual test reports.,"['retail', 'data', 'system']",G
 ILS,Intertek Laboratory System - The purpose of this applications is to manage the Test Request Form for a sample. Automate the TRF process and make it more user friendly.,['ils'],G
IAS,"Interlink Application Service - It's Web Service which is responsible to manage user registration and security groups being used in multiple applications. Using this application, admin can grant and revoke access.",['ias'],G
" iHSE 

","The IHSE system is a tool that allows Intertek�s H&S team to track and trend HSE related incidents. Local H&S
representative(s) shall enter HSE incidents details into the system as soon as incident information is verified. Automatic
notification will be sent out to GBL leaders once the incident is submitted on real time. Web submitted incidents shall be
